file,bpp,PSNR
2.png,0.4375,29.851522317338734
4.png,0.4375,26.242195658953417
2.png,0.5,30.410267419984894
4.png,0.5,26.31161225165045
2.png,0.5625,30.49587246661682
4.png,0.5625,27.234164136544443
2.png,0.625,30.83462143614673
4.png,0.625,27.412610881300267
